vram,name,notes
0x80037914,__osTimerInterrupt,Timer-list interrupt worker matched to libreultra
0x80037A50,__osSetTimerIntr,COP0 Compare scheduling helper matched to libreultra
0x80037AB0,__osInsertTimer,Delta-list insertion helper matched to libreultra
0x80037D00,osCreateViManager,VI manager setup matched to libreultra and reimplemented by N64ModernRuntime
0x80037EA0,viMgrMain,VI manager thread matched to libreultra
0x80038040,osViSetEvent,VI retrace event registration matched to libreultra and reimplemented by N64ModernRuntime
0x800380A0,osViSetMode,VI mode setter matched to libreultra and reimplemented by N64ModernRuntime
0x800380F0,osViSetSpecialFeatures,VI feature-mask updater matched to libreultra and reimplemented by N64ModernRuntime
0x80038260,osViSwapBuffer,VI framebuffer swap request matched to libreultra and reimplemented by N64ModernRuntime
0x800385C0,osViBlack,VI black-state setter matched to libreultra and reimplemented by N64ModernRuntime
0x80038620,__osMotorAccess,Unified Rumble Pak start/stop path matched to its cached PIF command buffers and reimplemented by N64ModernRuntime
0x80038764,osMotorInit,Rumble Pak probe matched to the 0xFE/0x80 bank test and reimplemented by N64ModernRuntime
0x800411F0,osDestroyThread,Thread removal and dispatch path matched to libreultra and reimplemented by N64ModernRuntime
0x80009044,func_80009044,Leaf allocator-initialization callback reached through an audio configuration function pointer
0x80057E54,func_80057E54,Adjacent scene-transition callback following the return at 0x80057E50
0x80057EF8,func_80057EF8,Indirect scene-transition callback reached after the new-game menu path
0x80049A68,func_80049A68,Leaf gameplay-effect callback following the return at 0x80049A60
0x80049C1C,func_80049C1C,Leaf gameplay-effect callback following the return at 0x80049C14
0x80049D34,func_80049D34,Indirect gameplay-effect callback reached on first room entry
0x80049D6C,func_80049D6C,Adjacent gameplay-effect callback following the return at 0x80049D64
0x80049DA8,func_80049DA8,Adjacent gameplay-effect callback following the return at 0x80049DA0
0x80049DEC,func_80049DEC,Adjacent gameplay-effect callback following the return at 0x80049DE4
0x80049E50,func_80049E50,Adjacent gameplay-effect callback following the return at 0x80049E48
0x80049ED0,func_80049ED0,Adjacent gameplay-effect callback following the return at 0x80049EC8
0x8007E3AC,func_8007E3AC,Indirect scene-transition callback reached when leaving the first playable room
